품목코드,창고코드,재고수량,중량,총중량(중량×재고수량)
1025424,05,12,10,120
120082,05,57,16,912
120084,03,16,22,352
1217110,42,24,12,288
1217110-EA,05,15,1,15
124417,09,10000,1,10000
1261110,42,64,12,768
1261110,51,17,12,204
1261110-EA,42,78,1,78
1278110,36,2,12,24
1278110,42,36,12,432
1278110,51,21,12,252
1278110-EA,34,-11,1,-11
1278110-EA,36,-24,1,-24
1278110-EA,42,38,1,38
1343200-EA,42,1,6,6
1344018,42,5,200,1000
1344096,05,70,20,1400
1344096,06,52,20,1040
1344096,42,69,20,1380
1344110,42,45,12,540
134962,05,-2,20,-40
135390,05,10,19,190
135421,05,-3,208,-624
135421,06,-4,208,-832
135437-1,05,118,1,118
135477,05,2,208,416
135477,06,2,208,416
136132,06,10,16,160
136132-P5,06,20,0,0
1363096,42,3,20,60
1363096,51,3,20,60
138890,42,13,20,260
139029,06,18,200,3600
139030,06,69,20,1380
139066,05,17,20,340
139593,06,23,20,460
139593,42,17,20,340
139600,06,13,20,260
139882,42,23,12,276
139883,42,42,18,756
139949-1,05,6,0,0
140059,06,9,20,180
140094,34,6,200,1200
140107,06,2,208,416
140140,05,44,16,704
140140,06,33,16,528
140140,50,19,16,304
140206,05,5,174,870
140252,06,2,16,32
140252,50,10,16,160
140252-2,05,17,16,272
140252-2,06,8,16,128
140254,06,12,16,192
140255,06,12,16,192
140255-1,05,4,16,64
140256,05,18,16,288
140256,06,11,16,176
140259,05,4,180,720
140263,05,90,16,1440
140263,06,4,16,64
140263,50,12,16,192
140263-3,06,4,16,64
140382,06,11,208,2288
140382,42,11,208,2288
140383,42,37,20,740
140383,51,5,20,100
140597,34,4,12,48
140597,42,40,12,480
140597,51,13,12,156
140597-EA,42,27,1,27
140618,42,5,6,30
140677,05,44,20,880
140854,05,70,20,1400
140854,06,10,20,200
140854,50,2,20,40
140895,34,-4,12,-48
140909-EA,50,4,1,4
141429,05,5,174,870
141429,06,12,174,2088
141592,42,71,16,1136
141592,51,48,16,768
141593,34,-1,200,-200
141593,42,1,200,200
141626-EA,42,6,1,6
141654,06,8,20,160
141655,06,7,200,1400
141737,05,16,20,320
141737,06,21,20,420
141738,05,7,200,1400
141738,06,5,200,1000
141741,05,43,20,860
141741,06,25,20,500
141741,50,18,20,360
141741-1,05,15,20,300
141741-1,06,32,20,640
141742,05,6,200,1200
141742,06,3,200,600
141742-1,05,4,200,800
141742-1,06,21,200,4200
141745,05,104,20,2080
141745,06,-6,20,-120
141745,50,15,20,300
141745-1,05,10,20,200
141745-1,06,61,20,1220
141746,05,35,200,7000
141746,06,8,200,1600
141746-1,05,16,200,3200
141746-1,06,7,200,1400
141750,05,33,20,660
141750,06,46,20,920
141751,05,5,200,1000
141751,06,5,200,1000
141874,42,5,20,100
142012,05,5,20,100
142012,06,48,20,960
142039-EA,34,10,1,10
142288,05,7,230,1610
142722,05,10,200,2000
1428068,06,1,16,16
142955,34,-4,200,-800
142956,02,75,12,900
142956,03,16,12,192
142956,54,21,12,252
142957,02,106,12,1272
142957,03,17,12,204
142957,34,-1,12,-12
142957,54,98,12,1176
143066,54,176,12,2112
143194,42,2,200,400
143195,42,2,200,400
143196,42,5,200,1000
143196,51,1,200,200
143201,06,3,200,600
143201,34,-1,200,-200
143201,42,2,200,400
143202,34,-2,200,-400
143202,42,24,200,4800
143202,51,9,200,1800
143206,34,2,200,400
143206,42,10,200,2000
143207,42,83,12,996
143207-EA,34,-10,1,-10
143207-EA,42,83,1,83
143209,34,2,12,24
143209,42,80,12,960
143210,42,24,12,288
143210,51,15,12,180
143211,42,14,12,168
143212,42,15,12,180
143219,42,22,16,352
143221,42,60,16,960
143221,51,66,16,1056
143222,42,120,16,1920
143227,42,2,16,32
143228,42,65,20,1300
143228,50,1,20,20
143230,42,164,16,2624
143230,51,26,16,416
143231,42,161,20,3220
143231,51,21,20,420
143232,42,33,200,6600
143232,51,1,200,200
143233,42,11,16,176
143234,34,42,20,840
143234,42,91,20,1820
143235,42,8,200,1600
143237,06,2,20,40
143237,42,344,20,6880
143238,42,7,200,1400
143240,06,4,16,64
143240,42,2,16,32
143241,42,19,20,380
143242,06,3,208,624
143248,06,18,20,360
143248,42,28,20,560
143249,06,11,20,220
143249,42,69,20,1380
143250,42,9,200,1800
143251,06,3,200,600
143251,42,10,200,2000
143391-P3,05,1512,4,6048
143396,42,99,18,1782
143396,51,34,18,612
143397,42,22,18,396
143398,34,-1,18,-18
143398,42,79,18,1422
143398,51,70,18,1260
143518,34,-1,12,-12
143533,42,66,12,792
143533,51,13,12,156
143533-EA,34,-8,1,-8
143533-EA,42,47,1,47
143535,02,110,12,1320
143535,03,76,12,912
143535,34,4,12,48
143535,54,139,12,1668
143753,06,1,12,12
143753,34,1,12,12
143753,36,2,12,24
143753,42,89,12,1068
143753-EA,34,-12,1,-12
143753-EA,36,-24,1,-24
143753-EA,42,9,1,9
143789,42,4,200,800
143891,42,80,12,960
143891,51,12,12,144
143891-EA,42,108,1,108
143901,42,45,200,9000
143901,51,1,200,200
143902,42,148,20,2960
143902,51,13,20,260
143903,34,2,16,32
143903,42,10,16,160
143903,51,22,16,352
143919,05,85,5,425
143919,06,9,5,45
143983,05,13,20,260
143983,06,4,20,80
143991,05,41,20,820
143991,06,1,20,20
144160,02,94,12,1128
144160,03,55,12,660
144160,34,-23,12,-276
144160,54,96,12,1152
144165,03,11,20,220
144165,05,171,20,3420
144165,06,57,20,1140
144166,05,19,200,3800
144166,06,39,200,7800
144166,50,1,200,200
144166-P3,05,173,4,692
144166-P4,05,452,1,452
144167,05,99,20,1980
144167,06,219,20,4380
144167,42,1,20,20
144167,50,9,20,180
144168,05,149,200,29800
144168,06,113,200,22600
144168,42,1,200,200
144168,50,36,200,7200
144169,05,160,20,3200
144169,06,179,20,3580
144170,05,61,200,12200
144170,06,93,200,18600
144185,42,15,20,300
144185,51,3,20,60
144186,42,1,200,200
144187,42,183,20,3660
144187,51,6,20,120
144188,42,9,12,108
144188,51,7,12,84
144219,42,1,200,200
144220,34,3,12,36
144220,42,175,12,2100
144220,51,11,12,132
144220-ea,42,81,1,81
144255,34,9,12,108
144255,42,173,12,2076
144255,51,39,12,468
144255-EA,34,-129,1,-129
144255-EA,42,72,1,72
144256,34,2,200,400
144256,42,3,200,600
144506,05,4,16,64
144506,42,63,16,1008
144506,51,23,16,368
144507,42,103,20,2060
